durations,datelimits
78.0,2013-12-19/2014-03-07
26.0,2014-03-07/2014-04-02
11.0,2014-05-03/2014-05-14
8.0,2014-04-23/2014-05-01
8.0,2014-06-23/2014-07-01
23.0,2014-07-25/2014-08-17
7.0,2014-08-26/2014-09-02
16.0,2014-10-03/2014-10-19
31.0,2014-10-26/2014-11-26
26.0,2014-11-29/2014-12-25
18.0,2014-12-25/2015-01-12
32.0,2015-02-01/2015-03-05
31.0,2015-09-07/2015-10-08
22.0,2016-04-06/2016-04-28
24.0,2016-05-07/2016-05-31
14.0,2016-08-16/2016-08-30
17.0,2016-09-06/2016-09-23
10.0,2016-10-14/2016-10-24
9.0,2016-10-28/2016-11-06
9.0,2017-01-23/2017-02-01
13.0,2017-02-01/2017-02-14
14.0,2017-02-27/2017-03-13
19.0,2017-10-09/2017-10-28
47.0,2018-02-24/2018-04-12
103.0,2018-09-18/2018-12-30
37.0,2018-12-30/2019-02-05
30.0,2019-04-12/2019-05-12
39.0,2019-05-12/2019-06-20
