durations,datelimits
14.0,2011-02-13/2011-02-27
23.0,2011-04-07/2011-04-30
15.0,2011-05-24/2011-06-08
8.0,2011-10-18/2011-10-26
13.0,2011-10-30/2011-11-12
15.0,2012-01-13/2012-01-28
18.0,2012-05-22/2012-06-09
32.0,2013-05-17/2013-06-18
21.0,2013-07-27/2013-08-17
28.0,2013-09-21/2013-10-19
33.0,2013-11-01/2013-12-04
26.0,2014-02-03/2014-03-01
30.0,2014-03-08/2014-04-07
28.0,2014-06-11/2014-07-09
21.0,2014-09-24/2014-10-15
35.0,2015-01-19/2015-02-23
42.0,2015-02-23/2015-04-06
51.0,2015-06-16/2015-08-06
16.0,2015-08-06/2015-08-22
42.0,2016-02-22/2016-04-04
359.0,2017-01-25/2018-01-19
