sha,author_id,date
faebdefb29a22c9d35c69daf6ce1e9befd8effce,cobyism,2012-07-30 01:52:51
849d7871e65309a4195383e0a8a34bec6946fe57,cobyism,2012-07-31 05:59:33
4d08a18fdf9258a00c512c160bfca932316e357e,cobyism,2012-07-31 06:00:17
e651970fa7fe997f4548f7dd539f7ab2b00e5c63,cobyism,2012-07-31 07:01:34
c4d64057357be39e98020b1f7e2fa236707debd7,cobyism,2012-08-01 04:47:43
629095ec64db12bbbf10a3615894aa291480aaca,cobyism,2012-08-01 06:45:25
adfb67daa10f8fc47ca4a3ec90a794ef80592506,leereilly,2012-08-01 22:09:50
7009b425d205598cb8e8505efbb703346c0bee3c,leereilly,2012-08-01 22:11:56
8722a239a256754e6701422513de9549994e73f4,leereilly,2012-08-01 22:12:22
3f458e053e603664fb05352ce9f6a2f2df7afcb9,leereilly,2012-08-01 22:20:04
1d81fe2146a69d692e2dd04673b10aec94f564ec,atmos,2012-08-02 01:28:40
8c4ebebce0897086f8f641d7d4910b7011ceb6f5,atmos,2012-08-02 01:36:45
d9a4df527b4e8e31a0584b4b9efc48a9517c6227,atmos,2012-08-02 01:40:30
40d1834cb88be987cc81dd2932b93eb0725d0874,atmos,2012-08-02 02:06:15
045999d8bb9b6373fe9edb98d69c0adbb2d11b46,atmos,2012-08-02 02:27:10
0b479708587da530e8accd770964f807f8c153b2,cobyism,2012-08-02 07:04:11
5d0e7d40d05d98b46dd61b2a55ff4e0010fe3c11,cobyism,2012-08-02 07:05:59
c3c50f46cc60b1b9a5e928f0a0881d06f1b0d535,cobyism,2012-08-02 07:15:32
1f76159afa9ca0a2498539dec65846fce8deacc4,cobyism,2012-08-02 07:55:19
9024579ebbcaf484c54c4fa70a3a36e1869766e8,cobyism,2012-08-02 08:33:59
fd7eae10609079213a46c8c49e49621c8f62e42f,cobyism,2012-08-03 02:34:21
bebe10bdc6274d1bd2f64546e0bbd92002001290,leereilly,2012-08-03 06:46:34
b18e35be7f2fff29703c6e132abdddeed185e0d4,leereilly,2012-08-03 06:47:06
99fb7b25c91c246def3f3d843ebd137643723e18,leereilly,2012-08-03 06:47:25
79fd43920519562e77c2d1c31be085eee83edccb,leereilly,2012-08-03 06:47:54
0b15e263853793ec7501c70d19f06969bed42bb5,leereilly,2012-08-03 07:15:10
9aba81235c0308d708873011bf104ba8f5a3bbff,cobyism,2012-08-04 00:12:50
9003e519c80d84b8640b60efcd57ab46c24677c7,cobyism,2012-08-04 00:13:16
ee34483986ee303e7af8079395f61f2fea6acb7d,matthewmccullough,2012-08-06 21:49:41
699c4024c5115951246dd42bcf8941618bf6f177,leereilly,2012-08-09 04:12:00
452bf7796b150efb13ae628df914c34595ceff40,matthewmccullough,2012-08-09 04:18:47
3b3ed6b3ddaab311d018680c489840ff9c578332,matthewmccullough,2012-08-09 04:19:31
015c8adc6c6465e4142f3d48ba0f3b9e504b5e54,cobyism,2012-08-09 06:38:39
e223e094e6c42a26bfdddbb34111c6575d0c120b,cobyism,2012-08-09 07:08:32
