durations,datelimits
74.0,2014-04-11/2014-06-24
48.0,2014-08-15/2014-10-02
58.0,2014-10-05/2014-12-02
35.0,2014-07-11/2014-08-15
23.0,2014-12-03/2014-12-26
10.0,2015-01-09/2015-01-19
9.0,2015-02-10/2015-02-19
16.0,2015-04-26/2015-05-12
20.0,2015-05-29/2015-06-18
19.0,2015-06-18/2015-07-07
35.0,2015-07-10/2015-08-14
17.0,2015-08-14/2015-08-31
33.0,2015-12-18/2016-01-20
21.0,2016-01-20/2016-02-10
28.0,2016-03-02/2016-03-30
25.0,2016-04-28/2016-05-23
101.0,2016-08-26/2016-12-05
27.0,2016-12-27/2017-01-23
55.0,2017-01-23/2017-03-19
23.0,2017-03-28/2017-04-20
127.0,2017-05-24/2017-09-28
63.0,2017-09-28/2017-11-30
83.0,2018-01-01/2018-03-25
106.0,2018-04-15/2018-07-30
190.0,2018-12-11/2019-06-19
