"[16, '2015-07-07/2015-07-23']","['sot', 16, '2015-07-07/2015-07-23']"
"[14, '2015-07-28/2015-08-11']","['sot', 14, '2015-07-28/2015-08-11']"
"[16, '2015-12-20/2016-01-05']","['sot', 16, '2015-12-20/2016-01-05']"
"[12, '2016-01-14/2016-01-26']","['sot', 12, '2016-01-14/2016-01-26']"
"[8, '2016-05-06/2016-05-14']","['sot', 8, '2016-05-06/2016-05-14']"
"[5, '2016-01-29/2016-02-03']","['sot', 5, '2016-01-29/2016-02-03']"
"[5, '2016-02-03/2016-02-08']","['sot', 5, '2016-02-03/2016-02-08']"
"[5, '2016-02-24/2016-02-29']","['sot', 5, '2016-02-24/2016-02-29']"
"[7, '2016-06-07/2016-06-14']","['sot', 7, '2016-06-07/2016-06-14']"
"[7, '2016-07-01/2016-07-08']","['sot', 7, '2016-07-01/2016-07-08']"
"[11, '2016-09-09/2016-09-20']","['sot', 11, '2016-09-09/2016-09-20']"
"[14, '2016-12-20/2017-01-03']","['sot', 14, '2016-12-20/2017-01-03']"
"[8, '2017-01-11/2017-01-19']","['sot', 8, '2017-01-11/2017-01-19']"
"[6, '2016-11-03/2016-11-09']","['sot', 6, '2016-11-03/2016-11-09']"
"[5, '2017-04-13/2017-04-18']","['sot', 5, '2017-04-13/2017-04-18']"
"[4, '2017-05-25/2017-05-29']","['sot', 4, '2017-05-25/2017-05-29']"
"[6, '2017-07-13/2017-07-19']","['sot', 6, '2017-07-13/2017-07-19']"
"[4, '2017-07-21/2017-07-25']","['sot', 4, '2017-07-21/2017-07-25']"
"[13, '2017-07-28/2017-08-10']","['h', 4, '2017-07-28/2017-08-01']","['sot', 9, '2017-08-01/2017-08-10']"
"[6, '2017-09-07/2017-09-13']","['sot', 6, '2017-09-07/2017-09-13']"
"[18, '2017-12-22/2018-01-09']","['h', 12, '2017-12-22/2018-01-03']","['sot', 6, '2018-01-03/2018-01-09']"
"[5, '2018-01-31/2018-02-05']","['sot', 5, '2018-01-31/2018-02-05']"
"[7, '2018-02-21/2018-02-28']","['sot', 7, '2018-02-21/2018-02-28']"
"[14, '2018-07-31/2018-08-14']","['h', 8, '2018-07-31/2018-08-08']"
"[9, '2018-08-29/2018-09-07']","['h', 8, '2018-08-29/2018-09-06']"
"[51, '2019-02-11/2019-04-03']","['sot', 51, '2019-02-11/2019-04-03']"
"[45, '2019-04-03/2019-05-18']","['sot', 45, '2019-04-03/2019-05-18']"
