"[5, '2015-03-05/2015-03-10']","['sot', 5, '2015-03-05/2015-03-10']"
"[4, '2015-03-19/2015-03-23']","['sot', 4, '2015-03-19/2015-03-23']"
"[4, '2015-04-09/2015-04-13']","['sot', 4, '2015-04-09/2015-04-13']"
"[4, '2015-04-16/2015-04-20']","['sot', 4, '2015-04-16/2015-04-20']"
"[6, '2015-06-19/2015-06-25']","['sot', 6, '2015-06-19/2015-06-25']"
"[12, '2015-06-25/2015-07-07']","['sot', 12, '2015-06-25/2015-07-07']"
"[6, '2015-07-10/2015-07-16']","['sot', 6, '2015-07-10/2015-07-16']"
"[10, '2015-08-02/2015-08-12']","['sot', 10, '2015-08-02/2015-08-12']"
"[18, '2015-12-17/2016-01-04']","['sot', 18, '2015-12-17/2016-01-04']"
"[131, '2016-02-29/2016-07-09']","['sot', 131, '2016-02-29/2016-07-09']"
"[10, '2016-07-15/2016-07-25']","['sot', 10, '2016-07-15/2016-07-25']"
"[10, '2016-08-30/2016-09-09']","['sot', 10, '2016-08-30/2016-09-09']"
"[9, '2017-07-04/2017-07-13']","['sot', 9, '2017-07-04/2017-07-13']"
"[14, '2017-10-09/2017-10-23']","['sot', 14, '2017-10-09/2017-10-23']"
"[10, '2018-01-29/2018-02-08']","['sot', 10, '2018-01-29/2018-02-08']"
"[6, '2018-03-03/2018-03-09']","['sot', 6, '2018-03-03/2018-03-09']"
"[7, '2018-04-02/2018-04-09']","['sot', 7, '2018-04-02/2018-04-09']"
"[5, '2018-04-25/2018-04-30']","['sot', 5, '2018-04-25/2018-04-30']"
"[15, '2018-10-02/2018-10-17']","['sot', 15, '2018-10-02/2018-10-17']"
"[10, '2018-09-21/2018-10-01']","['sot', 10, '2018-09-21/2018-10-01']"
"[11, '2018-12-07/2018-12-18']","['sot', 11, '2018-12-07/2018-12-18']"
"[98, '2018-12-19/2019-03-27']","['h', 12, '2018-12-19/2018-12-31']","['sot', 86, '2018-12-31/2019-03-27']"
"[29, '2019-05-15/2019-06-13']","['sot', 29, '2019-05-15/2019-06-13']"
