durations;datelimits
7.0;2018-04-18/2018-04-25
7.0;2018-04-09/2018-04-16
7.0;2018-04-02/2018-04-09
3.0;2017-09-29/2017-10-02
3.0;2017-09-26/2017-09-29
4.0;2017-09-14/2017-09-18
3.0;2017-07-24/2017-07-27
3.0;2017-07-14/2017-07-17
3.0;2017-05-22/2017-05-25
3.0;2017-05-19/2017-05-22
4.0;2017-04-12/2017-04-16
3.0;2017-03-20/2017-03-23
4.0;2017-03-09/2017-03-13
5.0;2017-03-02/2017-03-07
5.0;2017-02-22/2017-02-27
4.0;2017-02-17/2017-02-21
3.0;2016-09-23/2016-09-26
3.0;2016-09-02/2016-09-05
4.0;2016-09-29/2016-10-03
4.0;2016-09-16/2016-09-20
3.0;2016-03-09/2016-03-12
3.0;2016-02-05/2016-02-08
4.0;2015-11-21/2015-11-25
3.0;2015-08-21/2015-08-24
3.0;2015-08-09/2015-08-12
3.0;2015-07-03/2015-07-06
4.0;2015-06-18/2015-06-22
3.0;2015-04-04/2015-04-07
3.0;2015-03-14/2015-03-17
3.0;2015-01-09/2015-01-12
3.0;2014-12-11/2014-12-14
9.0;2013-07-20/2013-07-29
8.0;2013-07-12/2013-07-20
