durations,datelimits
65.0,2015-03-07/2015-05-11
55.0,2015-09-13/2015-11-07
12.0,2016-05-24/2016-06-05
18.0,2016-06-07/2016-06-25
44.0,2016-07-22/2016-09-04
36.0,2016-10-11/2016-11-16
18.0,2016-12-28/2017-01-15
11.0,2017-02-06/2017-02-17
7.0,2017-05-31/2017-06-07
8.0,2017-06-09/2017-06-17
13.0,2017-06-27/2017-07-10
23.0,2017-07-13/2017-08-05
20.0,2017-08-23/2017-09-12
10.0,2017-11-12/2017-11-22
10.0,2017-12-13/2017-12-23
7.0,2018-01-21/2018-01-28
11.0,2018-04-15/2018-04-26
23.0,2018-09-23/2018-10-16
27.0,2018-11-20/2018-12-17
33.0,2019-05-05/2019-06-07
1985.0,2019-06-07/2024-11-12
