"[19, '2011-06-28/2011-07-17']","['sot', 19, '2011-06-28/2011-07-17']"
"[27, '2011-12-27/2012-01-23']","['sot', 27, '2011-12-27/2012-01-23']"
"[22, '2012-02-03/2012-02-25']","['sot', 22, '2012-02-03/2012-02-25']"
"[45, '2012-06-21/2012-08-05']","['sot', 45, '2012-06-21/2012-08-05']"
"[54, '2013-01-20/2013-03-15']","['sot', 54, '2013-01-20/2013-03-15']"
"[35, '2013-03-22/2013-04-26']","['sot', 35, '2013-03-22/2013-04-26']"
"[37, '2013-08-03/2013-09-09']","['sot', 37, '2013-08-03/2013-09-09']"
"[23, '2013-09-09/2013-10-02']","['sot', 23, '2013-09-09/2013-10-02']"
"[16, '2013-10-11/2013-10-27']","['sot', 16, '2013-10-11/2013-10-27']"
"[23, '2014-01-11/2014-02-03']","['sot', 23, '2014-01-11/2014-02-03']"
"[29, '2014-02-19/2014-03-20']","['sot', 29, '2014-02-19/2014-03-20']"
"[42, '2014-05-23/2014-07-04']","['sot', 42, '2014-05-23/2014-07-04']"
"[35, '2014-07-04/2014-08-08']","['sot', 35, '2014-07-04/2014-08-08']"
"[70, '2014-08-27/2014-11-05']","['sot', 70, '2014-08-27/2014-11-05']"
"[61, '2014-12-31/2015-03-02']","['sot', 61, '2014-12-31/2015-03-02']"
"[54, '2015-06-09/2015-08-02']","['sot', 54, '2015-06-09/2015-08-02']"
"[68, '2015-12-22/2016-02-28']","['sot', 68, '2015-12-22/2016-02-28']"
"[231, '2016-07-15/2017-03-03']","['sot', 231, '2016-07-15/2017-03-03']"
