"[8.0, '2013-07-12/2013-07-20']","['sot', 8, '2013-07-12/2013-07-20']"
"[9.0, '2013-07-20/2013-07-29']","['sot', 9, '2013-07-20/2013-07-29']"
"[3.0, '2015-01-09/2015-01-12']","['sot', 3, '2015-01-09/2015-01-12']"
"[3.0, '2015-04-04/2015-04-07']","['sot', 3, '2015-04-04/2015-04-07']"
"[4.0, '2015-06-18/2015-06-22']","['sot', 4, '2015-06-18/2015-06-22']"
"[3.0, '2015-07-03/2015-07-06']","['sot', 3, '2015-07-03/2015-07-06']"
"[3.0, '2015-08-09/2015-08-12']","['sot', 3, '2015-08-09/2015-08-12']"
"[3.0, '2015-08-21/2015-08-24']","['sot', 3, '2015-08-21/2015-08-24']"
"[4.0, '2015-11-21/2015-11-25']","['h', 3, '2015-11-21/2015-11-24']"
"[3.0, '2016-02-05/2016-02-08']","['sot', 3, '2016-02-05/2016-02-08']"
"[4.0, '2016-09-16/2016-09-20']","['sot', 4, '2016-09-16/2016-09-20']"
"[4.0, '2016-09-29/2016-10-03']","['sot', 4, '2016-09-29/2016-10-03']"
"[3.0, '2016-09-02/2016-09-05']","['sot', 3, '2016-09-02/2016-09-05']"
"[3.0, '2016-09-23/2016-09-26']","['sot', 3, '2016-09-23/2016-09-26']"
"[4.0, '2017-02-17/2017-02-21']","['sot', 4, '2017-02-17/2017-02-21']"
"[5.0, '2017-02-22/2017-02-27']","['sot', 5, '2017-02-22/2017-02-27']"
"[5.0, '2017-03-02/2017-03-07']","['sot', 5, '2017-03-02/2017-03-07']"
"[4.0, '2017-03-09/2017-03-13']","['sot', 4, '2017-03-09/2017-03-13']"
"[3.0, '2017-03-20/2017-03-23']","['sot', 3, '2017-03-20/2017-03-23']"
"[4.0, '2017-04-12/2017-04-16']","['sot', 4, '2017-04-12/2017-04-16']"
"[3.0, '2017-05-22/2017-05-25']","['sot', 3, '2017-05-22/2017-05-25']"
"[3.0, '2017-07-14/2017-07-17']","['sot', 3, '2017-07-14/2017-07-17']"
"[3.0, '2017-07-24/2017-07-27']","['sot', 3, '2017-07-24/2017-07-27']"
"[4.0, '2017-09-14/2017-09-18']","['sot', 4, '2017-09-14/2017-09-18']"
"[3.0, '2017-09-26/2017-09-29']","['sot', 3, '2017-09-26/2017-09-29']"
"[3.0, '2017-09-29/2017-10-02']","['sot', 3, '2017-09-29/2017-10-02']"
"[7.0, '2018-04-02/2018-04-09']","['sot', 7, '2018-04-02/2018-04-09']"
"[7.0, '2018-04-09/2018-04-16']","['sot', 7, '2018-04-09/2018-04-16']"
"[7.0, '2018-04-18/2018-04-25']","['sot', 7, '2018-04-18/2018-04-25']"
