"[364.0, '2013-05-17/2014-05-16']","['sot', 88, '2013-05-17/2013-08-13']","['h', 276, '2013-09-10/2014-05-16']"
"[33.0, '2014-07-12/2014-08-14']","['sot', 33, '2014-07-12/2014-08-14']"
"[22.0, '2014-08-26/2014-09-17']","['sot', 22, '2014-08-26/2014-09-17']"
"[27.0, '2014-09-17/2014-10-14']","['sot', 27, '2014-09-17/2014-10-14']"
"[13.0, '2014-10-14/2014-10-27']","['sot', 13, '2014-10-14/2014-10-27']"
"[9.0, '2015-03-10/2015-03-19']","['sot', 9, '2015-03-10/2015-03-19']"
"[10.0, '2015-03-29/2015-04-08']","['sot', 10, '2015-03-29/2015-04-08']"
"[10.0, '2015-04-08/2015-04-18']","['sot', 10, '2015-04-08/2015-04-18']"
"[19.0, '2015-04-24/2015-05-13']","['sot', 19, '2015-04-24/2015-05-13']"
"[15.0, '2015-05-13/2015-05-28']","['sot', 15, '2015-05-13/2015-05-28']"
"[17.0, '2015-06-30/2015-07-17']","['sot', 17, '2015-06-30/2015-07-17']"
"[19.0, '2015-09-02/2015-09-21']","['sot', 19, '2015-09-02/2015-09-21']"
"[9.0, '2015-12-05/2015-12-14']","['sot', 9, '2015-12-05/2015-12-14']"
"[19.0, '2016-06-29/2016-07-18']","['sot', 19, '2016-06-29/2016-07-18']"
"[19.0, '2016-10-04/2016-10-23']","['sot', 19, '2016-10-04/2016-10-23']"
"[25.0, '2016-12-09/2017-01-03']","['sot', 25, '2016-12-09/2017-01-03']"
"[81.0, '2017-01-07/2017-03-29']","['sot', 81, '2017-01-07/2017-03-29']"
"[42.0, '2017-03-29/2017-05-10']","['sot', 42, '2017-03-29/2017-05-10']"
"[45.0, '2017-05-10/2017-06-24']","['sot', 45, '2017-05-10/2017-06-24']"
"[41.0, '2018-03-14/2018-04-24']","['sot', 41, '2018-03-14/2018-04-24']"
"[149.0, '2018-04-24/2018-09-20']","['sot', 149, '2018-04-24/2018-09-20']"
"[63, '2018-10-30/2019-01-01']","['sot', 63, '2018-10-30/2019-01-01']"
