durations,datelimits
57.0,2013-10-17/2013-12-13
16.0,2014-01-08/2014-01-24
12.0,2014-03-19/2014-03-31
24.0,2014-06-24/2014-07-18
14.0,2014-08-19/2014-09-02
20.0,2014-09-02/2014-09-22
17.0,2014-09-23/2014-10-10
42.0,2014-10-10/2014-11-21
17.0,2014-11-29/2014-12-16
11.0,2015-01-09/2015-01-20
22.0,2015-03-31/2015-04-22
45.0,2015-04-27/2015-06-11
53.0,2015-06-18/2015-08-10
31.0,2015-08-10/2015-09-10
47.0,2015-09-10/2015-10-27
40.0,2015-10-27/2015-12-06
255.0,2016-11-01/2017-07-14
706.0,2017-07-14/2019-06-20
