"[5, '2013-07-03/2013-07-08']","['sot', 5, '2013-07-03/2013-07-08']"
"[5, '2013-08-01/2013-08-06']","['sot', 5, '2013-08-01/2013-08-06']"
"[6, '2013-08-06/2013-08-12']","['sot', 6, '2013-08-06/2013-08-12']"
"[6, '2013-08-16/2013-08-22']","['sot', 6, '2013-08-16/2013-08-22']"
"[19, '2014-05-28/2014-06-16']","['sot', 19, '2014-05-28/2014-06-16']"
"[9, '2014-08-20/2014-08-29']","['sot', 9, '2014-08-20/2014-08-29']"
"[7, '2014-11-11/2014-11-18']","['sot', 7, '2014-11-11/2014-11-18']"
"[8, '2015-06-21/2015-06-29']","['sot', 8, '2015-06-21/2015-06-29']"
"[10, '2016-03-11/2016-03-21']","['sot', 10, '2016-03-11/2016-03-21']"
"[11, '2016-06-03/2016-06-14']","['sot', 11, '2016-06-03/2016-06-14']"
"[11, '2016-08-19/2016-08-30']","['sot', 11, '2016-08-19/2016-08-30']"
"[26, '2016-10-14/2016-11-09']","['sot', 26, '2016-10-14/2016-11-09']"
"[80, '2017-09-07/2017-11-26']","['sot', 80, '2017-09-07/2017-11-26']"
