"[105, '2014-06-05/2014-09-18']","['sot', 105, '2014-06-05/2014-09-18']"
"[53, '2015-05-22/2015-07-14']","['sot', 53, '2015-05-22/2015-07-14']"
"[44, '2015-04-08/2015-05-22']","['sot', 44, '2015-04-08/2015-05-22']"
"[16, '2015-11-19/2015-12-05']","['sot', 16, '2015-11-19/2015-12-05']"
"[14, '2015-12-22/2016-01-05']","['sot', 14, '2015-12-22/2016-01-05']"
"[10, '2016-04-29/2016-05-09']","['sot', 10, '2016-04-29/2016-05-09']"
"[11, '2016-06-03/2016-06-14']","['sot', 11, '2016-06-03/2016-06-14']"
"[11, '2016-08-18/2016-08-29']","['sot', 11, '2016-08-18/2016-08-29']"
"[12, '2016-10-05/2016-10-17']","['sot', 12, '2016-10-05/2016-10-17']"
"[9, '2016-10-29/2016-11-07']","['sot', 9, '2016-10-29/2016-11-07']"
"[25, '2017-03-17/2017-04-11']","['sot', 25, '2017-03-17/2017-04-11']"
"[21, '2017-06-16/2017-07-07']","['sot', 21, '2017-06-16/2017-07-07']"
"[15, '2017-07-25/2017-08-09']","['sot', 15, '2017-07-25/2017-08-09']"
"[20, '2017-10-11/2017-10-31']","['sot', 20, '2017-10-11/2017-10-31']"
"[23, '2018-01-15/2018-02-07']","['sot', 23, '2018-01-15/2018-02-07']"
"[18, '2017-10-31/2017-11-18']","['sot', 18, '2017-10-31/2017-11-18']"
"[18, '2017-12-19/2018-01-06']","['sot', 18, '2017-12-19/2018-01-06']"
"[77, '2018-03-14/2018-05-30']","['sot', 77, '2018-03-14/2018-05-30']"
"[164, '2018-06-04/2018-11-15']","['sot', 164, '2018-06-04/2018-11-15']"
"[22, '2018-12-11/2019-01-02']","['sot', 22, '2018-12-11/2019-01-02']"
"[17, '2019-01-04/2019-01-21']","['sot', 17, '2019-01-04/2019-01-21']"
"[13, '2019-04-04/2019-04-17']","['sot', 13, '2019-04-04/2019-04-17']"
