"[13, '2011-01-20/2011-02-02']","['sot', 13, '2011-01-20/2011-02-02']"
"[7, '2011-07-28/2011-08-04']","['sot', 7, '2011-07-28/2011-08-04']"
"[15, '2011-10-07/2011-10-22']","['sot', 15, '2011-10-07/2011-10-22']"
"[13, '2012-04-13/2012-04-26']","['sot', 13, '2012-04-13/2012-04-26']"
"[17, '2012-05-12/2012-05-29']","['sot', 17, '2012-05-12/2012-05-29']"
"[19, '2013-05-12/2013-05-31']","['sot', 19, '2013-05-12/2013-05-31']"
"[27, '2013-10-02/2013-10-29']","['sot', 27, '2013-10-02/2013-10-29']"
"[17, '2013-09-07/2013-09-24']","['sot', 17, '2013-09-07/2013-09-24']"
"[13, '2014-01-13/2014-01-26']","['sot', 13, '2014-01-13/2014-01-26']"
"[30, '2014-02-26/2014-03-28']","['sot', 30, '2014-02-26/2014-03-28']"
"[21, '2014-03-29/2014-04-19']","['sot', 21, '2014-03-29/2014-04-19']"
"[48, '2015-07-11/2015-08-28']","['sot', 48, '2015-07-11/2015-08-28']"
"[25, '2015-05-21/2015-06-15']","['sot', 25, '2015-05-21/2015-06-15']"
"[54, '2015-12-17/2016-02-09']","['sot', 54, '2015-12-17/2016-02-09']"
"[18, '2016-03-18/2016-04-05']","['sot', 18, '2016-03-18/2016-04-05']"
"[13, '2016-05-26/2016-06-08']","['sot', 13, '2016-05-26/2016-06-08']"
"[22, '2016-06-08/2016-06-30']","['sot', 22, '2016-06-08/2016-06-30']"
"[78, '2017-08-15/2017-11-01']","['sot', 78, '2017-08-15/2017-11-01']"
"[87, '2018-10-28/2019-01-23']","['sot', 87, '2018-10-28/2019-01-23']"
"[38, '2018-06-23/2018-07-31']","['sot', 38, '2018-06-23/2018-07-31']"
"[38, '2018-07-31/2018-09-07']","['sot', 38, '2018-07-31/2018-09-07']"
"[45, '2018-09-13/2018-10-28']","['sot', 45, '2018-09-13/2018-10-28']"
"[15, '2019-01-27/2019-02-11']","['sot', 15, '2019-01-27/2019-02-11']"
"[22, '2019-05-14/2019-06-05']","['sot', 22, '2019-05-14/2019-06-05']"
