"[33, '2011-12-04/2012-01-06']","['sot', 33, '2011-12-04/2012-01-06']"
"[17, '2012-02-14/2012-03-02']","['sot', 17, '2012-02-14/2012-03-02']"
"[18, '2012-04-05/2012-04-23']","['sot', 18, '2012-04-05/2012-04-23']"
"[9, '2012-06-06/2012-06-15']","['sot', 9, '2012-06-06/2012-06-15']"
"[10, '2012-08-01/2012-08-11']","['sot', 10, '2012-08-01/2012-08-11']"
"[24, '2012-09-21/2012-10-15']","['sot', 24, '2012-09-21/2012-10-15']"
"[10, '2012-12-23/2013-01-02']","['sot', 10, '2012-12-23/2013-01-02']"
"[9, '2013-05-29/2013-06-07']","['sot', 9, '2013-05-29/2013-06-07']"
"[8, '2013-07-08/2013-07-16']","['sot', 8, '2013-07-08/2013-07-16']"
"[46, '2013-09-12/2013-10-28']","['sot', 46, '2013-09-12/2013-10-28']"
"[14, '2013-12-23/2014-01-06']","['sot', 14, '2013-12-23/2014-01-06']"
"[22, '2014-04-10/2014-05-02']","['sot', 22, '2014-04-10/2014-05-02']"
"[12, '2014-05-13/2014-05-25']","['sot', 12, '2014-05-13/2014-05-25']"
"[35, '2014-06-04/2014-07-09']","['sot', 35, '2014-06-04/2014-07-09']"
"[21, '2014-07-09/2014-07-30']","['sot', 21, '2014-07-09/2014-07-30']"
"[59, '2014-08-20/2014-10-18']","['sot', 59, '2014-08-20/2014-10-18']"
"[27, '2014-11-12/2014-12-09']","['sot', 27, '2014-11-12/2014-12-09']"
"[55, '2015-06-03/2015-07-28']","['sot', 55, '2015-06-03/2015-07-28']"
"[123, '2015-09-19/2016-01-20']","['sot', 123, '2015-09-19/2016-01-20']"
"[277, '2016-01-20/2016-10-23']","['sot', 75, '2016-01-20/2016-04-04']","['h', 99, '2016-05-18/2016-07-12']","['sot', 103, '2016-07-12/2016-10-23']"
"[471, '2016-10-23/2018-02-06']","['sot', 164, '2016-10-23/2017-04-05']","['h', 247, '2017-05-22/2017-12-08']","['sot', 60, '2017-12-08/2018-02-06']"
"[499, '2018-02-06/2019-06-20']","['sot', 137, '2018-02-06/2018-06-23']","['h', 356, '2018-08-11/2019-06-14']"
