durations,datelimits
62.0,2015-09-13/2015-11-14
14.0,2016-02-04/2016-02-18
19.0,2016-06-07/2016-06-26
15.0,2016-06-28/2016-07-13
44.0,2016-07-22/2016-09-04
10.0,2016-05-26/2016-06-05
7.0,2016-09-26/2016-10-03
42.0,2016-10-05/2016-11-16
18.0,2016-12-28/2017-01-15
9.0,2017-02-06/2017-02-15
5.0,2017-03-06/2017-03-11
5.0,2017-04-26/2017-05-01
5.0,2017-05-09/2017-05-14
6.0,2017-05-31/2017-06-06
8.0,2017-06-09/2017-06-17
7.0,2017-06-20/2017-06-27
19.0,2017-08-23/2017-09-11
8.0,2017-12-15/2017-12-23
8.0,2018-04-18/2018-04-26
8.0,2018-05-03/2018-05-11
17.0,2018-09-29/2018-10-16
24.0,2018-11-23/2018-12-17
