durations,datelimits
12.0,2015-07-30/2015-08-11
16.0,2015-12-20/2016-01-05
12.0,2016-01-14/2016-01-26
15.0,2016-01-28/2016-02-12
8.0,2016-05-06/2016-05-14
10.0,2016-06-20/2016-06-30
11.0,2016-09-09/2016-09-20
11.0,2016-10-17/2016-10-28
13.0,2017-02-02/2017-02-15
10.0,2017-01-09/2017-01-19
7.0,2017-02-16/2017-02-23
9.0,2017-05-22/2017-05-31
5.0,2017-06-07/2017-06-12
7.0,2017-06-13/2017-06-20
28.0,2017-07-13/2017-08-10
25.0,2017-10-22/2017-11-16
24.0,2017-11-28/2017-12-22
258.0,2018-04-18/2019-01-01
