"[20, '2011-07-04/2011-07-24']","['sot', 20, '2011-07-04/2011-07-24']"
"[30, '2011-07-24/2011-08-23']","['sot', 30, '2011-07-24/2011-08-23']"
"[178, '2011-08-23/2012-02-17']","['sot', 178, '2011-08-23/2012-02-17']"
"[40, '2012-03-19/2012-04-28']","['sot', 40, '2012-03-19/2012-04-28']"
"[72, '2012-08-29/2012-11-09']","['sot', 72, '2012-08-29/2012-11-09']"
"[16, '2012-12-19/2013-01-04']","['sot', 16, '2012-12-19/2013-01-04']"
"[41, '2013-04-27/2013-06-07']","['sot', 41, '2013-04-27/2013-06-07']"
"[25, '2013-08-04/2013-08-29']","['sot', 25, '2013-08-04/2013-08-29']"
"[26, '2013-10-12/2013-11-07']","['sot', 26, '2013-10-12/2013-11-07']"
"[21, '2014-02-09/2014-03-02']","['sot', 21, '2014-02-09/2014-03-02']"
"[26, '2014-03-16/2014-04-11']","['sot', 26, '2014-03-16/2014-04-11']"
"[21, '2014-04-20/2014-05-11']","['sot', 21, '2014-04-20/2014-05-11']"
"[47, '2014-05-24/2014-07-10']","['sot', 47, '2014-05-24/2014-07-10']"
"[37, '2014-07-15/2014-08-21']","['sot', 37, '2014-07-15/2014-08-21']"
"[90, '2015-05-05/2015-08-03']","['sot', 90, '2015-05-05/2015-08-03']"
"[52, '2015-11-27/2016-01-18']","['sot', 52, '2015-11-27/2016-01-18']"
"[27, '2015-08-21/2015-09-17']","['sot', 27, '2015-08-21/2015-09-17']"
"[24, '2016-01-23/2016-02-16']","['sot', 24, '2016-01-23/2016-02-16']"
"[90, '2016-05-05/2016-08-03']","['sot', 90, '2016-05-05/2016-08-03']"
"[50, '2016-11-14/2017-01-03']","['sot', 50, '2016-11-14/2017-01-03']"
"[67, '2017-05-21/2017-07-27']","['sot', 67, '2017-05-21/2017-07-27']"
"[102, '2017-07-27/2017-11-06']","['sot', 102, '2017-07-27/2017-11-06']"
"[71, '2017-12-07/2018-02-16']","['sot', 71, '2017-12-07/2018-02-16']"
"[174, '2018-04-24/2018-10-15']","['sot', 174, '2018-04-24/2018-10-15']"
"[73, '2018-11-08/2019-01-20']","['sot', 73, '2018-11-08/2019-01-20']"
"[39, '2019-01-21/2019-03-01']","['sot', 39, '2019-01-21/2019-03-01']"
"[93, '2019-03-19/2019-06-20']","['sot', 93, '2019-03-19/2019-06-20']"
