"[15.0, '2010-09-05/2010-09-20']","['sot', 15, '2010-09-05/2010-09-20']"
"[23.0, '2010-12-27/2011-01-19']","['sot', 23, '2010-12-27/2011-01-19']"
"[22.0, '2011-01-19/2011-02-10']","['sot', 22, '2011-01-19/2011-02-10']"
"[8.0, '2011-08-01/2011-08-09']","['sot', 8, '2011-08-01/2011-08-09']"
"[7.0, '2011-11-22/2011-11-29']","['sot', 7, '2011-11-22/2011-11-29']"
"[4.0, '2012-02-08/2012-02-12']","['sot', 4, '2012-02-08/2012-02-12']"
"[6.0, '2012-03-26/2012-04-01']","['sot', 6, '2012-03-26/2012-04-01']"
"[9.0, '2012-04-05/2012-04-14']","['sot', 9, '2012-04-05/2012-04-14']"
"[7.0, '2012-04-17/2012-04-24']","['sot', 7, '2012-04-17/2012-04-24']"
"[19.0, '2012-07-07/2012-07-26']","['sot', 19, '2012-07-07/2012-07-26']"
"[36.0, '2012-08-01/2012-09-06']","['sot', 36, '2012-08-01/2012-09-06']"
"[40.0, '2012-11-28/2013-01-07']","['sot', 40, '2012-11-28/2013-01-07']"
"[51.0, '2013-10-20/2013-12-10']","['sot', 51, '2013-10-20/2013-12-10']"
"[62.0, '2013-12-29/2014-03-01']","['sot', 62, '2013-12-29/2014-03-01']"
"[157.0, '2014-03-01/2014-08-05']","['sot', 157, '2014-03-01/2014-08-05']"
"[101.0, '2014-08-17/2014-11-26']","['sot', 101, '2014-08-17/2014-11-26']"
"[1497, '2014-11-26/2019-01-01']","['sot', 495, '2014-11-26/2016-04-04']","['d', 415, '2016-05-23/2017-05-24']","['sot', 587, '2017-05-24/2019-01-01']"
