durations,datelimits
63.0,2015-02-06/2015-04-10
18.0,2016-06-27/2016-07-15
4.0,2016-06-16/2016-06-20
4.0,2016-07-26/2016-07-30
5.0,2016-07-30/2016-08-04
3.0,2016-10-21/2016-10-24
3.0,2016-10-29/2016-11-01
5.0,2016-11-04/2016-11-09
5.0,2016-11-18/2016-11-23
4.0,2016-11-23/2016-11-27
10.0,2016-12-20/2016-12-30
16.0,2017-06-22/2017-07-08
5.0,2017-05-17/2017-05-22
4.0,2017-07-29/2017-08-02
12.0,2017-10-04/2017-10-16
13.0,2018-03-09/2018-03-22
16.0,2018-03-28/2018-04-13
17.0,2018-07-16/2018-08-02
27.0,2018-11-15/2018-12-12
28.0,2019-01-28/2019-02-25
11.0,2019-03-06/2019-03-17
11.0,2019-05-31/2019-06-11
