durations,datelimits
17.0,2014-04-07/2014-04-24
15.0,2014-05-17/2014-06-01
31.0,2014-09-03/2014-10-04
22.0,2015-01-10/2015-02-01
32.0,2015-07-07/2015-08-08
18.0,2016-03-18/2016-04-05
20.0,2016-05-14/2016-06-03
17.0,2016-12-27/2017-01-13
10.0,2016-11-23/2016-12-03
10.0,2017-03-17/2017-03-27
28.0,2017-03-31/2017-04-28
14.0,2017-04-28/2017-05-12
17.0,2017-06-05/2017-06-22
19.0,2017-08-30/2017-09-18
17.0,2017-08-04/2017-08-21
13.0,2017-12-22/2018-01-04
11.0,2017-11-14/2017-11-25
11.0,2018-01-18/2018-01-29
13.0,2018-02-22/2018-03-07
12.0,2018-04-12/2018-04-24
12.0,2018-05-11/2018-05-23
13.0,2018-09-13/2018-09-26
19.0,2019-02-14/2019-03-05
