durations;datelimits
27;2019-04-11/2019-05-08
54;2018-11-30/2019-01-23
54;2018-08-16/2018-10-09
67;2017-11-12/2018-01-18
43;2017-03-16/2017-04-28
29;2016-12-22/2017-01-20
13;2016-09-21/2016-10-04
21;2016-08-12/2016-09-02
15;2016-07-21/2016-08-05
12;2016-05-11/2016-05-23
34;2016-02-19/2016-03-24
91;2015-11-20/2016-02-19
22;2015-08-19/2015-09-10
22;2015-07-01/2015-07-23
19;2015-05-16/2015-06-04
60;2015-03-17/2015-05-16
18;2014-11-25/2014-12-13
35;2014-08-29/2014-10-03
51;2014-05-05/2014-06-25
86;2013-10-09/2014-01-03
