durations;datelimits
1985;2019-06-07/2024-11-12
33;2019-05-05/2019-06-07
27;2018-11-20/2018-12-17
23;2018-09-23/2018-10-16
11;2018-04-15/2018-04-26
7;2018-01-21/2018-01-28
10;2017-12-13/2017-12-23
10;2017-11-12/2017-11-22
20;2017-08-23/2017-09-12
23;2017-07-13/2017-08-05
13;2017-06-27/2017-07-10
8;2017-06-09/2017-06-17
7;2017-05-31/2017-06-07
11;2017-02-06/2017-02-17
18;2016-12-28/2017-01-15
36;2016-10-11/2016-11-16
44;2016-07-22/2016-09-04
18;2016-06-07/2016-06-25
12;2016-05-24/2016-06-05
28;2015-08-05/2015-09-02
55;2015-09-13/2015-11-07
54;2015-06-12/2015-08-05
160;2014-12-02/2015-05-11
