durations,datelimits
28.0,2015-06-30/2015-07-28
18.0,2015-07-28/2015-08-15
8.0,2015-09-18/2015-09-26
11.0,2015-12-10/2015-12-21
5.0,2016-03-03/2016-03-08
4.0,2016-03-18/2016-03-22
5.0,2016-04-09/2016-04-14
4.0,2016-04-22/2016-04-26
7.0,2016-05-18/2016-05-25
7.0,2016-11-10/2016-11-17
5.0,2016-12-02/2016-12-07
4.0,2016-12-24/2016-12-28
4.0,2017-01-03/2017-01-07
4.0,2017-03-25/2017-03-29
3.0,2017-03-29/2017-04-01
3.0,2017-04-22/2017-04-25
3.0,2017-06-20/2017-06-23
4.0,2017-08-20/2017-08-24
4.0,2017-08-28/2017-09-01
5.0,2017-09-05/2017-09-10
9.0,2017-09-12/2017-09-21
3.0,2017-09-26/2017-09-29
7.0,2018-02-06/2018-02-13
7.0,2018-06-22/2018-06-29
4.0,2019-01-10/2019-01-14
6.0,2019-01-15/2019-01-21
5.0,2019-02-23/2019-02-28
3.0,2019-02-07/2019-02-10
3.0,2019-04-05/2019-04-08
4.0,2019-04-23/2019-04-27
3.0,2019-04-30/2019-05-03
4.0,2019-05-03/2019-05-07
5.0,2019-05-09/2019-05-14
