Project;#breaks;A_to_S;S_to_A;A_to_H;H_to_A;S_to_H;H_to_S;H_to_D;D_to_A;D_to_S
rails;1517.1024113454998;127.08415256041755;114.22563925183783;72.22886968456106;48.98060720391137;25.173363417106124;20.592979503804095;25.175242902375622;6.488346058483153;4.494890709916178
node;1746.9328151976129;153.05243590852695;151.54691944817705;1.458378434470133;0.9916265163115652;1.850181238442465;1.0202452406819071;0.9335038363171356;0.0;0.0
laravel;389.8053409465893;28.55322621037981;26.472133604182318;4.570974116218549;2.924391706656179;2.081092606197492;0.38255596846223533;0.7995618838992333;0.3997809419496167;0.3997809419496167
react;698.2130756297964;64.04902414688777;58.66054386576428;6.151465337040977;2.31536187033809;10.178675288178892;6.110225448097087;5.709369244526349;1.0786451863098876;0.8795180722891566
elixir;369.8372970235941;43.78040452578543;42.67640095039221;6.1664274101270955;5.168291179946314;1.4355203782996697;2.0474132222370645;0.0;0.0;0.0
linguist;237.87734505527652;16.938642266502075;15.787262450577579;10.553407368362272;6.584579885059767;4.5177818271844385;5.095380493747293;2.4525062194570295;0.2130764740221833;0.0
flutter;1500.705702032417;126.63809280376621;122.14554003197424;13.595308014902477;8.0474989855775;7.879544142226192;5.453999163037185;1.5303983228511528;0.0;0.0
atom;1113.680082663307;84.99321241622384;72.05214400281075;46.482061953737855;35.665206433942735;27.204311660405615;20.439492567587997;9.351110399155514;0.998181863071569;0.7813072344322345
ionic;380.8819601898756;21.502158592697725;20.17969482458178;8.779431297270978;7.2510489630467205;5.2898550724637685;4.86862587224906;0.0;0.0;0.0
jabref;561.8226126964822;60.537122467953246;57.00370790156726;10.840386455052215;5.864438434959132;6.243810605989944;6.206464585820256;1.6912260937588521;0.0;0.0
