Project;AtoA;AtoS;AtoH;StoA;StoS;StoH;HtoA;HtoS;HtoH;HtoD;DtoA;DtoS;DtoD
jabref;87.2953655993967;10.775130993286968;1.9295034073163242;85.40701873820612;5.238059116300741;9.35492214549313;34.32668456120813;36.32868763831533;19.445268247808844;9.8993595526677;0.0;0.0;100.0
ionic;92.04961298905496;5.645360200829298;2.305026810115737;76.52292199121163;3.4175493303932325;20.059528678395136;51.53814324687335;34.604639811172234;13.85721694195442;0.0;0.0;0.0;0.0
atom;88.19452045370646;7.631743957651381;4.17373558864216;67.83675948024734;6.550507235082714;25.612733284669947;48.401359280757305;27.738497045082994;11.169723532001075;12.690420142158617;10.674474158295824;8.355234844653243;80.97029099705094
flutter;90.65550289915274;8.43856944317992;0.9059276576673398;92.4699868200067;1.5648232697552111;5.965189910238102;37.47406001538454;25.39714417184802;30.002328484129148;7.126467328638303;0.0;0.0;100.0
linguist;88.4427625386201;7.120746308382573;4.4364911529973305;71.64947872822707;7.846858021797642;20.503663249975286;43.68984955085962;33.80874878309466;6.228590094005327;16.272811572040407;8.688111464579984;0.0;91.31188853542001
elixir;86.49491753863697;11.837747268359582;1.6673351930034532;93.12335399656627;3.744224585960465;3.1324214174732643;67.98640721808879;26.932745122954604;5.0808476589566105;0.0;0.0;0.0;0.0
react;89.94569252078142;9.173277668728101;0.8810298104904843;82.57539621254988;3.0962650191693974;14.328338768280727;14.178456410609847;37.41685750495378;13.442530059221635;34.96215602521474;18.892545570493617;15.404820298360674;65.7026341311457
laravel;91.50237391664241;7.324996148344755;1.1726299350128346;90.23905044938483;2.666854926869866;7.094094623745304;43.96215234585072;5.750934024355221;38.26716221622388;12.019751413570175;50.000000000000014;50.000000000000014;-2.220446049250313e-14
node;91.1553087217313;8.76120905034426;0.08348222792444149;98.36066869078121;0.438481668229751;1.200849640989041;29.971546967403324;30.83653739222913;10.977105311879454;28.214810328488092;0.0;0.0;100.0
rails;86.86225657843293;8.376768213538607;4.760975208028452;75.06349535839311;8.393803192162508;16.542701449444376;50.286944810378266;21.14220469905389;2.7241711068436203;25.846679383724226;25.772724750436826;17.85440850500006;56.37286674456311
