"[17, '2014-04-07/2014-04-24']","['sot', 17, '2014-04-07/2014-04-24']"
"[15, '2014-05-17/2014-06-01']","['sot', 15, '2014-05-17/2014-06-01']"
"[31, '2014-09-03/2014-10-04']","['sot', 31, '2014-09-03/2014-10-04']"
"[22, '2015-01-10/2015-02-01']","['sot', 22, '2015-01-10/2015-02-01']"
"[19, '2015-10-18/2015-11-06']","['sot', 19, '2015-10-18/2015-11-06']"
"[14, '2016-03-04/2016-03-18']","['sot', 14, '2016-03-04/2016-03-18']"
"[18, '2016-03-18/2016-04-05']","['sot', 18, '2016-03-18/2016-04-05']"
"[18, '2016-04-09/2016-04-27']","['sot', 18, '2016-04-09/2016-04-27']"
"[20, '2016-05-14/2016-06-03']","['sot', 20, '2016-05-14/2016-06-03']"
"[17, '2016-12-27/2017-01-13']","['sot', 17, '2016-12-27/2017-01-13']"
"[28, '2017-03-31/2017-04-28']","['sot', 28, '2017-03-31/2017-04-28']"
"[14, '2017-04-28/2017-05-12']","['sot', 14, '2017-04-28/2017-05-12']"
"[17, '2017-06-05/2017-06-22']","['sot', 17, '2017-06-05/2017-06-22']"
"[19, '2017-08-30/2017-09-18']","['sot', 19, '2017-08-30/2017-09-18']"
"[17, '2017-08-04/2017-08-21']","['sot', 17, '2017-08-04/2017-08-21']"
"[13, '2017-12-22/2018-01-04']","['sot', 13, '2017-12-22/2018-01-04']"
"[11, '2017-11-14/2017-11-25']","['sot', 11, '2017-11-14/2017-11-25']"
"[11, '2018-01-18/2018-01-29']","['sot', 11, '2018-01-18/2018-01-29']"
"[13, '2018-02-22/2018-03-07']","['sot', 13, '2018-02-22/2018-03-07']"
"[12, '2018-04-12/2018-04-24']","['sot', 12, '2018-04-12/2018-04-24']"
"[12, '2018-05-11/2018-05-23']","['sot', 12, '2018-05-11/2018-05-23']"
"[13, '2018-09-13/2018-09-26']","['sot', 13, '2018-09-13/2018-09-26']"
"[19, '2019-02-14/2019-03-05']","['sot', 19, '2019-02-14/2019-03-05']"
