"[28, '2015-06-30/2015-07-28']","['sot', 28, '2015-06-30/2015-07-28']"
"[9, '2015-08-29/2015-09-07']","['sot', 9, '2015-08-29/2015-09-07']"
"[8, '2015-09-18/2015-09-26']","['sot', 8, '2015-09-18/2015-09-26']"
"[10, '2015-12-10/2015-12-20']","['sot', 10, '2015-12-10/2015-12-20']"
"[5, '2016-03-03/2016-03-08']","['sot', 5, '2016-03-03/2016-03-08']"
"[4, '2016-03-18/2016-03-22']","['sot', 4, '2016-03-18/2016-03-22']"
"[5, '2016-04-09/2016-04-14']","['sot', 5, '2016-04-09/2016-04-14']"
"[4, '2016-04-22/2016-04-26']","['sot', 4, '2016-04-22/2016-04-26']"
"[7, '2016-05-18/2016-05-25']","['sot', 7, '2016-05-18/2016-05-25']"
"[4, '2017-03-25/2017-03-29']","['sot', 4, '2017-03-25/2017-03-29']"
"[3, '2017-03-29/2017-04-01']","['sot', 3, '2017-03-29/2017-04-01']"
"[3, '2017-04-22/2017-04-25']","['sot', 3, '2017-04-22/2017-04-25']"
"[3, '2017-06-20/2017-06-23']","['sot', 3, '2017-06-20/2017-06-23']"
"[3, '2017-08-20/2017-08-23']","['sot', 3, '2017-08-20/2017-08-23']"
"[4, '2017-08-28/2017-09-01']","['sot', 4, '2017-08-28/2017-09-01']"
"[5, '2017-09-05/2017-09-10']","['sot', 5, '2017-09-05/2017-09-10']"
"[5, '2017-09-14/2017-09-19']","['sot', 5, '2017-09-14/2017-09-19']"
"[3, '2017-10-02/2017-10-05']","['sot', 3, '2017-10-02/2017-10-05']"
"[9, '2018-01-14/2018-01-23']","['sot', 9, '2018-01-14/2018-01-23']"
"[7, '2018-02-06/2018-02-13']","['sot', 7, '2018-02-06/2018-02-13']"
"[7, '2018-06-22/2018-06-29']","['sot', 7, '2018-06-22/2018-06-29']"
"[4, '2019-01-10/2019-01-14']","['sot', 4, '2019-01-10/2019-01-14']"
"[6, '2019-01-15/2019-01-21']","['sot', 6, '2019-01-15/2019-01-21']"
