durations,datelimits
4.0,2011-03-17/2011-03-21
7.0,2011-06-10/2011-06-17
21.0,2011-09-12/2011-10-03
9.0,2011-10-07/2011-10-16
8.0,2011-11-20/2011-11-28
11.0,2012-05-31/2012-06-11
9.0,2012-09-11/2012-09-20
14.0,2012-09-26/2012-10-10
12.0,2012-10-25/2012-11-06
11.0,2012-11-15/2012-11-26
9.0,2012-11-26/2012-12-05
13.0,2013-04-17/2013-04-30
14.0,2013-05-22/2013-06-05
11.0,2013-11-16/2013-11-27
18.0,2013-12-21/2014-01-08
14.0,2014-06-12/2014-06-26
14.0,2014-08-14/2014-08-28
14.0,2014-10-16/2014-10-30
17.0,2014-12-13/2014-12-30
29.0,2014-12-30/2015-01-28
46.0,2015-03-19/2015-05-04
39.0,2015-11-04/2015-12-13
14.0,2015-07-22/2015-08-05
14.0,2015-10-15/2015-10-29
23.0,2015-12-19/2016-01-11
41.0,2016-03-04/2016-04-14
25.0,2016-04-22/2016-05-17
38.0,2016-05-21/2016-06-28
49.0,2018-11-20/2019-01-08
